state,district,market_id,market_name,commodity,date,day_of_week,month,day_of_year,arrivals_tonnes,mandi_capacity_mt,modal_price_rs_qtl,min_price_rs_qtl,max_price_rs_qtl,msp_rs_qtl,msp_spread_rs_qtl,rainfall_48h_mm,rain_alert,satellite_ndvi_index,source,lag_arrival_t1,lag_arrival_t7,rolling_mean_7d
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-11,2,1,11,90.6,950,2036,1893,2138,2183,-147,0.0,0,0.343,Agmarknet-DMI / IMD-Grid / Sentinel-2,80.7,76.9,60.4
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-12,3,1,12,75.4,950,2037,1894,2139,2183,-146,0.0,0,0.427,Agmarknet-DMI / IMD-Grid / Sentinel-2,90.6,56.9,63.0
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-13,4,1,13,66.8,950,2102,1955,2207,2183,-81,0.0,0,0.48,Agmarknet-DMI / IMD-Grid / Sentinel-2,75.4,47.2,65.8
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-14,5,1,14,56.5,950,2021,1880,2122,2183,-162,0.0,0,0.457,Agmarknet-DMI / IMD-Grid / Sentinel-2,66.8,51.2,66.6
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-15,6,1,15,1.1,950,2027,1885,2128,2183,-156,0.0,0,0.353,Agmarknet-DMI / IMD-Grid / Sentinel-2,56.5,1.2,66.6
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-16,0,1,16,88.9,950,2053,1909,2156,2183,-130,0.0,0,0.362,Agmarknet-DMI / IMD-Grid / Sentinel-2,1.1,95.0,65.7
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-17,1,1,17,92.1,950,2080,1934,2184,2183,-103,0.0,0,0.403,Agmarknet-DMI / IMD-Grid / Sentinel-2,88.9,80.7,67.3
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-18,2,1,18,60.3,950,2069,1924,2172,2183,-114,60.1,1,0.492,Agmarknet-DMI / IMD-Grid / Sentinel-2,92.1,90.6,63.0
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-19,3,1,19,77.5,950,2038,1895,2140,2183,-145,0.0,0,0.425,Agmarknet-DMI / IMD-Grid / Sentinel-2,60.3,75.4,63.3
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-20,4,1,20,69.0,950,2109,1961,2214,2183,-74,0.0,0,0.451,Agmarknet-DMI / IMD-Grid / Sentinel-2,77.5,66.8,63.6
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-21,5,1,21,62.6,950,2053,1909,2156,2183,-130,0.0,0,0.31,Agmarknet-DMI / IMD-Grid / Sentinel-2,69.0,56.5,64.5
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-22,6,1,22,0.7,950,2106,1959,2211,2183,-77,24.1,0,0.44,Agmarknet-DMI / IMD-Grid / Sentinel-2,62.6,1.1,64.4
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-23,0,1,23,104.3,950,2054,1910,2157,2183,-129,0.0,0,0.369,Agmarknet-DMI / IMD-Grid / Sentinel-2,0.7,88.9,66.6
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-24,1,1,24,91.6,950,2033,1891,2135,2183,-150,0.0,0,0.476,Agmarknet-DMI / IMD-Grid / Sentinel-2,104.3,92.1,66.6
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-25,2,1,25,82.6,950,2088,1942,2192,2183,-95,0.0,0,0.344,Agmarknet-DMI / IMD-Grid / Sentinel-2,91.6,60.3,69.8
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-26,3,1,26,83.4,950,2032,1890,2134,2183,-151,0.0,0,0.339,Agmarknet-DMI / IMD-Grid / Sentinel-2,82.6,77.5,70.6
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-27,4,1,27,77.9,950,2073,1928,2177,2183,-110,0.0,0,0.33,Agmarknet-DMI / IMD-Grid / Sentinel-2,83.4,69.0,71.9
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-28,5,1,28,65.0,950,2061,1917,2164,2183,-122,0.0,0,0.301,Agmarknet-DMI / IMD-Grid / Sentinel-2,77.9,62.6,72.2
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-29,6,1,29,1.2,950,2096,1949,2201,2183,-87,0.0,0,0.325,Agmarknet-DMI / IMD-Grid / Sentinel-2,65.0,0.7,72.3
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-30,0,1,30,96.8,950,2079,1933,2183,2183,-104,0.0,0,0.417,Agmarknet-DMI / IMD-Grid / Sentinel-2,1.2,104.3,71.2
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-31,1,1,31,90.6,950,2095,1948,2200,2183,-88,0.0,0,0.372,Agmarknet-DMI / IMD-Grid / Sentinel-2,96.8,91.6,71.1
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-01,2,2,32,94.4,950,2104,1957,2209,2183,-79,0.0,0,0.355,Agmarknet-DMI / IMD-Grid / Sentinel-2,90.6,82.6,72.8
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-02,3,2,33,81.4,950,2060,1916,2163,2183,-123,0.0,0,0.409,Agmarknet-DMI / IMD-Grid / Sentinel-2,94.4,83.4,72.5
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-03,4,2,34,71.7,950,2055,1911,2158,2183,-128,0.0,0,0.444,Agmarknet-DMI / IMD-Grid / Sentinel-2,81.4,77.9,71.6
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-04,5,2,35,63.4,950,2112,1964,2218,2183,-71,0.0,0,0.427,Agmarknet-DMI / IMD-Grid / Sentinel-2,71.7,65.0,71.4
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-05,6,2,36,1.1,950,2095,1948,2200,2183,-88,0.0,0,0.48,Agmarknet-DMI / IMD-Grid / Sentinel-2,63.4,1.2,71.3
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-06,0,2,37,103.6,950,2062,1918,2165,2183,-121,0.0,0,0.421,Agmarknet-DMI / IMD-Grid / Sentinel-2,1.1,96.8,72.3
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-07,1,2,38,93.2,950,2120,1972,2226,2183,-63,0.0,0,0.408,Agmarknet-DMI / IMD-Grid / Sentinel-2,103.6,90.6,72.7
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-08,2,2,39,80.8,950,2086,1940,2190,2183,-97,0.0,0,0.435,Agmarknet-DMI / IMD-Grid / Sentinel-2,93.2,94.4,70.7
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-09,3,2,40,78.5,950,2094,1947,2199,2183,-89,0.0,0,0.434,Agmarknet-DMI / IMD-Grid / Sentinel-2,80.8,81.4,70.3
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-10,4,2,41,65.2,950,2086,1940,2190,2183,-97,0.0,0,0.391,Agmarknet-DMI / IMD-Grid / Sentinel-2,78.5,71.7,69.4
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-11,5,2,42,66.4,950,2101,1954,2206,2183,-82,0.0,0,0.303,Agmarknet-DMI / IMD-Grid / Sentinel-2,65.2,63.4,69.8
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-12,6,2,43,1.1,950,2123,1974,2229,2183,-60,0.0,0,0.398,Agmarknet-DMI / IMD-Grid / Sentinel-2,66.4,1.1,69.8
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-13,0,2,44,95.6,950,2015,1874,2116,2183,-168,0.0,0,0.383,Agmarknet-DMI / IMD-Grid / Sentinel-2,1.1,103.6,68.7
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-14,1,2,45,94.7,950,2073,1928,2177,2183,-110,0.0,0,0.37,Agmarknet-DMI / IMD-Grid / Sentinel-2,95.6,93.2,68.9
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-15,2,2,46,86.3,950,2072,1927,2176,2183,-111,0.0,0,0.474,Agmarknet-DMI / IMD-Grid / Sentinel-2,94.7,80.8,69.7
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-16,3,2,47,81.4,950,2057,1913,2160,2183,-126,0.0,0,0.323,Agmarknet-DMI / IMD-Grid / Sentinel-2,86.3,78.5,70.1
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-17,4,2,48,63.4,950,2009,1868,2109,2183,-174,0.0,0,0.308,Agmarknet-DMI / IMD-Grid / Sentinel-2,81.4,65.2,69.8
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-18,5,2,49,55.4,950,2021,1880,2122,2183,-162,0.0,0,0.402,Agmarknet-DMI / IMD-Grid / Sentinel-2,63.4,66.4,68.3
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-19,6,2,50,1.1,950,2032,1890,2134,2183,-151,0.0,0,0.425,Agmarknet-DMI / IMD-Grid / Sentinel-2,55.4,1.1,68.3
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-20,0,2,51,100.0,950,2021,1880,2122,2183,-162,0.0,0,0.395,Agmarknet-DMI / IMD-Grid / Sentinel-2,1.1,95.6,68.9
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-21,1,2,52,104.6,950,2081,1935,2185,2183,-102,0.0,0,0.445,Agmarknet-DMI / IMD-Grid / Sentinel-2,100.0,94.7,70.3
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-22,2,2,53,78.6,950,2027,1885,2128,2183,-156,0.0,0,0.373,Agmarknet-DMI / IMD-Grid / Sentinel-2,104.6,86.3,69.2
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-23,3,2,54,73.6,950,2034,1892,2136,2183,-149,0.0,0,0.435,Agmarknet-DMI / IMD-Grid / Sentinel-2,78.6,81.4,68.1
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-24,4,2,55,80.2,950,2017,1876,2118,2183,-166,0.0,0,0.411,Agmarknet-DMI / IMD-Grid / Sentinel-2,73.6,63.4,70.5
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-25,5,2,56,42.5,950,2109,1961,2214,2183,-74,70.8,1,0.357,Agmarknet-DMI / IMD-Grid / Sentinel-2,80.2,55.4,68.7
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-26,6,2,57,1.0,950,2031,1889,2133,2183,-152,0.0,0,0.348,Agmarknet-DMI / IMD-Grid / Sentinel-2,42.5,1.1,68.6
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-27,0,2,58,93.6,950,2044,1901,2146,2183,-139,0.0,0,0.447,Agmarknet-DMI / IMD-Grid / Sentinel-2,1.0,100.0,67.7
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-02-28,1,2,59,96.3,950,2097,1950,2202,2183,-86,0.0,0,0.371,Agmarknet-DMI / IMD-Grid / Sentinel-2,93.6,104.6,66.5
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-01,2,3,60,84.7,950,2056,1912,2159,2183,-127,0.0,0,0.421,Agmarknet-DMI / IMD-Grid / Sentinel-2,96.3,78.6,67.4
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-02,3,3,61,51.3,950,2090,1944,2194,2183,-93,19.0,0,0.421,Agmarknet-DMI / IMD-Grid / Sentinel-2,84.7,73.6,64.2
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-03,4,3,62,76.7,950,2059,1915,2162,2183,-124,0.0,0,0.48,Agmarknet-DMI / IMD-Grid / Sentinel-2,51.3,80.2,63.7
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-04,5,3,63,43.0,950,2046,1903,2148,2183,-137,48.2,1,0.317,Agmarknet-DMI / IMD-Grid / Sentinel-2,76.7,42.5,63.8
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-05,6,3,64,0.8,950,2127,1978,2233,2183,-56,22.4,0,0.369,Agmarknet-DMI / IMD-Grid / Sentinel-2,43.0,1.0,63.8
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-06,0,3,65,69.3,950,2083,1937,2187,2183,-100,17.7,0,0.383,Agmarknet-DMI / IMD-Grid / Sentinel-2,0.8,93.6,60.3
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-07,1,3,66,93.3,950,2036,1893,2138,2183,-147,0.0,0,0.393,Agmarknet-DMI / IMD-Grid / Sentinel-2,69.3,96.3,59.9
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-08,2,3,67,78.2,950,2111,1963,2217,2183,-72,0.0,0,0.399,Agmarknet-DMI / IMD-Grid / Sentinel-2,93.3,84.7,58.9
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-09,3,3,68,80.9,950,2118,1970,2224,2183,-65,0.0,0,0.368,Agmarknet-DMI / IMD-Grid / Sentinel-2,78.2,51.3,63.2
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-10,4,3,69,72.6,950,2087,1941,2191,2183,-96,0.0,0,0.374,Agmarknet-DMI / IMD-Grid / Sentinel-2,80.9,76.7,62.6
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-11,5,3,70,55.9,950,2026,1884,2127,2183,-157,0.0,0,0.363,Agmarknet-DMI / IMD-Grid / Sentinel-2,72.6,43.0,64.4
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-12,6,3,71,1.1,950,2081,1935,2185,2183,-102,0.0,0,0.349,Agmarknet-DMI / IMD-Grid / Sentinel-2,55.9,0.8,64.5
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-13,0,3,72,103.1,950,2060,1916,2163,2183,-123,0.0,0,0.351,Agmarknet-DMI / IMD-Grid / Sentinel-2,1.1,69.3,69.3
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-14,1,3,73,92.8,950,2119,1971,2225,2183,-64,0.0,0,0.34,Agmarknet-DMI / IMD-Grid / Sentinel-2,103.1,93.3,69.2
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-15,2,3,74,83.5,950,2039,1896,2141,2183,-144,0.0,0,0.497,Agmarknet-DMI / IMD-Grid / Sentinel-2,92.8,78.2,70.0
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-16,3,3,75,83.7,950,2022,1880,2123,2183,-161,0.0,0,0.337,Agmarknet-DMI / IMD-Grid / Sentinel-2,83.5,80.9,70.4
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-17,4,3,76,72.3,950,2022,1880,2123,2183,-161,0.0,0,0.344,Agmarknet-DMI / IMD-Grid / Sentinel-2,83.7,72.6,70.3
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-18,5,3,77,60.5,950,2021,1880,2122,2183,-162,0.0,0,0.404,Agmarknet-DMI / IMD-Grid / Sentinel-2,72.3,55.9,71.0
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-19,6,3,78,1.1,950,2063,1919,2166,2183,-120,0.0,0,0.306,Agmarknet-DMI / IMD-Grid / Sentinel-2,60.5,1.1,71.0
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-20,0,3,79,96.4,950,2069,1924,2172,2183,-114,0.0,0,0.435,Agmarknet-DMI / IMD-Grid / Sentinel-2,1.1,103.1,70.0
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-21,1,3,80,62.9,950,2067,1922,2170,2183,-116,59.4,1,0.311,Agmarknet-DMI / IMD-Grid / Sentinel-2,96.4,92.8,65.8
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-22,2,3,81,84.6,950,2055,1911,2158,2183,-128,0.0,0,0.364,Agmarknet-DMI / IMD-Grid / Sentinel-2,62.9,83.5,65.9
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-23,3,3,82,77.7,950,2110,1962,2216,2183,-73,0.0,0,0.421,Agmarknet-DMI / IMD-Grid / Sentinel-2,84.6,83.7,65.1
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-24,4,3,83,78.7,950,2067,1922,2170,2183,-116,0.0,0,0.352,Agmarknet-DMI / IMD-Grid / Sentinel-2,77.7,72.3,66.0
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-25,5,3,84,58.7,950,2123,1974,2229,2183,-60,0.0,0,0.464,Agmarknet-DMI / IMD-Grid / Sentinel-2,78.7,60.5,65.7
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-26,6,3,85,1.2,950,2094,1947,2199,2183,-89,0.0,0,0.424,Agmarknet-DMI / IMD-Grid / Sentinel-2,58.7,1.1,65.7
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-27,0,3,86,94.9,950,2071,1926,2175,2183,-112,0.0,0,0.381,Agmarknet-DMI / IMD-Grid / Sentinel-2,1.2,96.4,65.5
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-28,1,3,87,88.6,950,2061,1917,2164,2183,-122,0.0,0,0.478,Agmarknet-DMI / IMD-Grid / Sentinel-2,94.9,62.9,69.2
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-29,2,3,88,86.9,950,2064,1920,2167,2183,-119,0.0,0,0.445,Agmarknet-DMI / IMD-Grid / Sentinel-2,88.6,84.6,69.5
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-30,3,3,89,82.4,950,2090,1944,2194,2183,-93,0.0,0,0.331,Agmarknet-DMI / IMD-Grid / Sentinel-2,86.9,77.7,70.2
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-03-31,4,3,90,72.0,950,2123,1974,2229,2183,-60,0.0,0,0.481,Agmarknet-DMI / IMD-Grid / Sentinel-2,82.4,78.7,69.2
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-01,5,4,91,59.6,950,2105,1958,2210,2183,-78,0.0,0,0.367,Agmarknet-DMI / IMD-Grid / Sentinel-2,72.0,58.7,69.4
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-02,6,4,92,1.2,950,2069,1924,2172,2183,-114,0.0,0,0.491,Agmarknet-DMI / IMD-Grid / Sentinel-2,59.6,1.2,69.4
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-03,0,4,93,98.5,950,2068,1923,2171,2183,-115,0.0,0,0.479,Agmarknet-DMI / IMD-Grid / Sentinel-2,1.2,94.9,69.9
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-04,1,4,94,92.3,950,2045,1902,2147,2183,-138,0.0,0,0.4,Agmarknet-DMI / IMD-Grid / Sentinel-2,98.5,88.6,70.4
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-05,2,4,95,85.2,950,2025,1883,2126,2183,-158,0.0,0,0.349,Agmarknet-DMI / IMD-Grid / Sentinel-2,92.3,86.9,70.2
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-06,3,4,96,79.1,950,2109,1961,2214,2183,-74,0.0,0,0.352,Agmarknet-DMI / IMD-Grid / Sentinel-2,85.2,82.4,69.7
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-07,4,4,97,79.3,950,2088,1942,2192,2183,-95,0.0,0,0.427,Agmarknet-DMI / IMD-Grid / Sentinel-2,79.1,72.0,70.7
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-08,5,4,98,65.8,950,2071,1926,2175,2183,-112,0.0,0,0.355,Agmarknet-DMI / IMD-Grid / Sentinel-2,79.3,59.6,71.6
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-09,6,4,99,1.1,950,2133,1984,2240,2183,-50,0.0,0,0.388,Agmarknet-DMI / IMD-Grid / Sentinel-2,65.8,1.2,71.6
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-10,0,4,100,95.6,950,2098,1951,2203,2183,-85,0.0,0,0.493,Agmarknet-DMI / IMD-Grid / Sentinel-2,1.1,98.5,71.2
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-11,1,4,101,91.9,950,2004,1864,2104,2183,-179,0.0,0,0.365,Agmarknet-DMI / IMD-Grid / Sentinel-2,95.6,92.3,71.1
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-12,2,4,102,82.1,950,2108,1960,2213,2183,-75,0.0,0,0.325,Agmarknet-DMI / IMD-Grid / Sentinel-2,91.9,85.2,70.7
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-13,3,4,103,80.0,950,2032,1890,2134,2183,-151,0.0,0,0.327,Agmarknet-DMI / IMD-Grid / Sentinel-2,82.1,79.1,70.8
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-14,4,4,104,74.7,950,2081,1935,2185,2183,-102,0.0,0,0.444,Agmarknet-DMI / IMD-Grid / Sentinel-2,80.0,79.3,70.2
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-15,5,4,105,62.0,950,2097,1950,2202,2183,-86,0.0,0,0.402,Agmarknet-DMI / IMD-Grid / Sentinel-2,74.7,65.8,69.6
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-16,6,4,106,1.2,950,2021,1880,2122,2183,-162,0.0,0,0.308,Agmarknet-DMI / IMD-Grid / Sentinel-2,62.0,1.1,69.6
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-17,0,4,107,101.9,950,2013,1872,2114,2183,-170,0.0,0,0.312,Agmarknet-DMI / IMD-Grid / Sentinel-2,1.2,95.6,70.5
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-18,1,4,108,81.2,950,2090,1944,2194,2183,-93,0.0,0,0.313,Agmarknet-DMI / IMD-Grid / Sentinel-2,101.9,91.9,69.0
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-19,2,4,109,84.9,950,2055,1911,2158,2183,-128,0.0,0,0.448,Agmarknet-DMI / IMD-Grid / Sentinel-2,81.2,82.1,69.4
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-20,3,4,110,55.8,950,2067,1922,2170,2183,-116,27.0,1,0.418,Agmarknet-DMI / IMD-Grid / Sentinel-2,84.9,80.0,66.0
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-21,4,4,111,71.9,950,2117,1969,2223,2183,-66,0.0,0,0.319,Agmarknet-DMI / IMD-Grid / Sentinel-2,55.8,74.7,65.6
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-22,5,4,112,61.3,950,2077,1932,2181,2183,-106,0.0,0,0.456,Agmarknet-DMI / IMD-Grid / Sentinel-2,71.9,62.0,65.5
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-23,6,4,113,1.0,950,2017,1876,2118,2183,-166,0.0,0,0.498,Agmarknet-DMI / IMD-Grid / Sentinel-2,61.3,1.2,65.4
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-24,0,4,114,60.6,950,2047,1904,2149,2183,-136,18.9,0,0.466,Agmarknet-DMI / IMD-Grid / Sentinel-2,1.0,101.9,59.5
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-04-25,1,4,115,90.3,950,2067,1922,2170,2183,-116,0.0,0,0.477,Agmarknet-DMI / IMD-Grid / Sentinel-2,60.6,81.2,60.8
